gloss,path,word,date,variant,token
BASKETBALL,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Basketball 2 2024-1-26 Upload/Documentation/SG ASL Basketball 2 2024-1-26 CC.mp4,basketball,2024-1-26,Documentation,BASKETBALL
BADMINTON,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Badminton 1 2023-12-13 Upload/Documentation/SG ASL Badminton 1 2023-12-13 CC.mp4,badminton,2023-12-13,Documentation,BADMINTON
BUMPINTHEROAD,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bump in the Road 2 2024-8-17 Upload/Documentation/SG ASL Bump in the Road 2 2024-8-17 CC.mp4,bumpintheroad,2024-8-17,Documentation,BUMPINTHEROAD
BARGIN,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bargin 1 2024-1-14 Upload/Documentation/SG ASL Bargin 1 2024-1-14 CC.mp4,bargin,2024-1-14,Documentation,BARGIN
BRAILLE202478,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Braille 2024-7-8 Upload/Documentation/SG ASL Braille 2024-7-8 CC.mp4,braille,2024-7-8,Documentation,BRAILLE
BLONDEALT2024515,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blonde Alt 2024-5-15 Upload/Documentation/SG ASL Blonde Alt 2024-5-15 CC.mp4,blondealt,2024-5-15,Documentation,BLONDEALT
BRAKE202479,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Brake 2024-7-9 Upload/Documentation/SG ASL Brake 2024-7-9 CC.mp4,brake,2024-7-9,Documentation,BRAKE
BIRTHDAYALT2024424,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Birthday Alt 2024-4-24 Upload/Documentation/SG ASL Birthday Alt 2024-4-24 CC.mp4,birthdayalt,2024-4-24,Documentation,BIRTHDAYALT
BIRTH2024424,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Birth 2024-4-24 Upload/Documentation/SG ASL Birth 2024-4-24 CC.mp4,birth,2024-4-24,Documentation,BIRTH
BEDROOM2024229,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bedroom 2024-2-29 Upload/Documentation/SG ASL Bedroom 2024-2-29 CC.mp4,bedroom,2024-2-29,Documentation,BEDROOM
BOYCOTT202474,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Boycott 2024-7-4 Upload/Documentation/SG ASL Boycott 2024-7-4 CC.mp4,boycott,2024-7-4,Documentation,BOYCOTT
BOLTMETAL202465,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bolt Metal 2024-6-5 Upload/Documentation/SG ASL Bolt Metal 2024-6-5 CC.mp4,boltmetal,2024-6-5,Documentation,BOLTMETAL
BANGS,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bangs 2 2024-1-4 Upload/Documentation/SG ASL Bangs 2 2024-1-4 CC.mp4,bangs,2024-1-4,Documentation,BANGS
BEAU2024224,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Beau 2024-2-24 Upload/Documentation/SG ASL Beau 2024-2-24 CC.mp4,beau,2024-2-24,Documentation,BEAU
BROKEENGINEALT202482,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Broke Engine Alt 2024-8-2 Upload/Documentation/SG ASL Broke Engine Alt 2024-8-2 CC.mp4,brokeenginealt,2024-8-2,Documentation,BROKEENGINEALT
BODYLANGUAGE202462,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Body Language 2024-6-2 Upload/Documentation/SG ASL Body Language 2024-6-2 CC.mp4,bodylanguage,2024-6-2,Documentation,BODYLANGUAGE
BLIZZARD,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blizzard 2 2024-5-12 Upload/Documentation/SG ASL Blizzard 2 2024-5-12 CC.mp4,blizzard,2024-5-12,Documentation,BLIZZARD
BADGER,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Badger 1 2023-12-13 Upload/Documentation/SG ASL Badger 1 2023-12-13 CC.mp4,badger,2023-12-13,Documentation,BADGER
BARGAIN(VARIANT),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bargain (Variant) 4 2024-1-13 Upload/Documentation/SG ASL Bargain (Variant) 4 2024-1-13 CC.mp4,bargain,2024-1-13,Documentation,BARGAIN
BARBADOS(ALT)2024111,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Barbados (Alt) 2024-1-11 Upload/Documentation/SG ASL Barbados (Alt) 2024-1-11 CC.mp4,barbados,2024-1-11,Documentation,BARBADOS
BOOTSALT2024618,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Boots Alt 2024-6-18 Upload/Documentation/SG ASL Boots Alt 2024-6-18 CC.mp4,bootsalt,2024-6-18,Documentation,BOOTSALT
BOWARCHERY2024630,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bow Archery 2024-6-30 Upload/Documentation/SG ASL Bow Archery 2024-6-30 CC.mp4,bowarchery,2024-6-30,Documentation,BOWARCHERY
BLINDSHORIZONTALALT2024510,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blinds Horizontal Alt 2024-5-10 Upload/Documentation/SG ASL Blinds Horizontal Alt 2024-5-10 CC.mp4,blindshorizontalalt,2024-5-10,Documentation,BLINDSHORIZONTALALT
BOGUSALT202462,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bogus Alt 2024-6-2 Upload/Documentation/SG ASL Bogus Alt 2024-6-2 CC.mp4,bogusalt,2024-6-2,Documentation,BOGUSALT
BRAT2024711,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Brat 2024-7-11 Upload/Documentation/SG ASL Brat 2024-7-11 CC.mp4,brat,2024-7-11,Documentation,BRAT
BASIC,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Basic 2 2024-1-24 Upload/Documentation/SG ASL Basic 2 2024-1-24 CC.mp4,basic,2024-1-24,Documentation,BASIC
BOOKMARK,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bookmark 1 2024-6-12 Upload/Documentation/SG ASL Bookmark 1 2024-6-12 CC.mp4,bookmark,2024-6-12,Documentation,BOOKMARK
BENEFIT(ALT)2024326,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Benefit (Alt) 2024-3-26 Upload/Documentation/SG ASL Benefit (Alt) 2024-3-26 CC.mp4,benefit,2024-3-26,Documentation,BENEFIT
BLABBERMOUTHVARIANT2024427,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blabbermouth Variant 2024-4-27 Upload/Documentation/SG ASL Blabbermouth Variant 2024-4-27 CC.mp4,blabbermouthvariant,2024-4-27,Documentation,BLABBERMOUTHVARIANT
BABY20231128,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Baby 2023-11-28 Upload/Documentation/SG ASL Baby 2023-11-28 CC.mp4,baby,2023-11-28,Documentation,BABY
BUSTSTATUE202493,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bust Statue 2024-9-3 Upload/Documentation/SG ASL Bust Statue 2024-9-3 CC.mp4,buststatue,2024-9-3,Documentation,BUSTSTATUE
BATTERY(VARIANT)202428,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Battery (Variant) 2024-2-8 Upload/Documentation/SG ASL Battery (Variant) 2024-2-8 CC.mp4,battery,2024-2-8,Documentation,BATTERY
BEEPER202434,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Beeper 2024-3-4 Upload/Documentation/SG ASL Beeper 2024-3-4 CC.mp4,beeper,2024-3-4,Documentation,BEEPER
BINGO2024422,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bingo 2024-4-22 Upload/Documentation/SG ASL Bingo 2024-4-22 CC.mp4,bingo,2024-4-22,Documentation,BINGO
BEWITCH(ALT)202448,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bewitch (Alt) 2024-4-8 Upload/Documentation/SG ASL Bewitch (Alt) 2024-4-8 CC.mp4,bewitch,2024-4-8,Documentation,BEWITCH
BIOGRAPHICALFATHER2024422,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Biographical Father 2024-4-22 Upload/Documentation/SG ASL Biographical Father 2024-4-22 CC.mp4,biographicalfather,2024-4-22,Documentation,BIOGRAPHICALFATHER
BLUR,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blur 2 2024-5-28 Upload/Documentation/SG ASL Blur 2 2024-5-28 CC.mp4,blur,2024-5-28,Documentation,BLUR
BRIGHTSMART,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bright Smart 1 2024-7-27 Upload/Documentation/SG ASL Bright Smart 1 2024-7-27 CC.mp4,brightsmart,2024-7-27,Documentation,BRIGHTSMART
BARBARIC,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Barbaric 3 2024-1-11 Upload/Documentation/SG ASL Barbaric 3 2024-1-11 CC.mp4,barbaric,2024-1-11,Documentation,BARBARIC
BRAIDHAIRSTYLEBACK202478,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Braid Hairstyle Back 2024-7-8 Upload/Documentation/SG ASL Braid Hairstyle Back 2024-7-8 CC.mp4,braidhairstyleback,2024-7-8,Documentation,BRAIDHAIRSTYLEBACK
BARE2024113,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bare 2024-1-13 Upload/Documentation/SG ASL Bare 2024-1-13 CC.mp4,bare,2024-1-13,Documentation,BARE
BEFORE(ALT)202436,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Before (Alt) 2024-3-6 Upload/Documentation/SG ASL Before (Alt) 2024-3-6 CC.mp4,before,2024-3-6,Documentation,BEFORE
BEERCAN202435,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Beer Can 2024-3-5 Upload/Documentation/SG ASL Beer Can 2024-3-5 CC.mp4,beercan,2024-3-5,Documentation,BEERCAN
MY202469,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL M/SG ASL My 2024-6-9 Upload/Documentation/SG ASL My 2024-6-9 CC.mp4,my,2024-6-9,Documentation,MY
MYNAMEIS202469,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL M/SG ASL My Name Is 2024-6-9 Upload/Documentation/SG ASL My Name Is 2024-6-9 CC.mp4,mynameis,2024-6-9,Documentation,MYNAMEIS
CONSIDER2H202561,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Consider 2h 2025-6-1 Upload/Documentation/SG ASL Consider 2h 2025-6-1 CC.mp4,consider,2025-6-1,Documentation,CONSIDER
COMPOSED2025419,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Composed 2025-4-19 Upload/Documentation/SG ASL Composed 2025-4-19 CC.mp4,composed,2025-4-19,Documentation,COMPOSED
CONCERNEDALT2025426,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Concerned Alt 2025-4-26 Upload/Documentation/SG ASL Concerned Alt 2025-4-26 CC.mp4,concernedalt,2025-4-26,Documentation,CONCERNEDALT
CONFIRMATIONALT2025517,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Confirmation Alt 2025-5-17 Upload/Documentation/SG ASL Confirmation Alt 2025-5-17 CC.mp4,confirmationalt,2025-5-17,Documentation,CONFIRMATIONALT
COCKTAIL202532,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Cocktail 2025-3-2 Upload/Documentation/SG ASL Cocktail 2025-3-2 CC.mp4,cocktail,2025-3-2,Documentation,COCKTAIL
CARINSURANCE20241014,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Car Insurance 2024-10-14 Upload/Documentation/SG ASL Car Insurance 2024-10-14 CC.mp4,carinsurance,2024-10-14,Documentation,CARINSURANCE
COMPASSIONFORSOMETHING2H202544,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Compassion For Something 2H 2025-4-4 Upload/Documentation/SG ASL Compassion For Something 2H 2025-4-4 CC.mp4,compassionforsomething,2025-4-4,Documentation,COMPASSIONFORSOMETHING
CHIRP2025113,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Chirp 2025-1-13 Upload/Documentation/SG ASL Chirp 2025-1-13 CC.mp4,chirp,2025-1-13,Documentation,CHIRP
CHOIRALT2025114,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Choir Alt 2025-1-14 Upload/Documentation/SG ASL Choir Alt 2025-1-14 CC.mp4,choiralt,2025-1-14,Documentation,CHOIRALT
CAMEL2025213,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Camel 2025-2-13 Upload/Documentation/SG ASL Camel 2025-2-13 CC.mp4,camel,2025-2-13,Documentation,CAMEL
COMPILE2025413,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Compile 2025-4-13 Upload/Documentation/SG ASL Compile 2025-4-13 CC.mp4,compile,2025-4-13,Documentation,COMPILE
CLOSEKNIT202524,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Close Knit 2025-2-4 Upload/Documentation/SG ASL Close Knit 2025-2-4 CC.mp4,closeknit,2025-2-4,Documentation,CLOSEKNIT
CLANDENSTINE,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Clandenstine 1 2025-2-17 Upload/Documentation/SG ASL Clandenstine 1 2025-2-17 CC.mp4,clandenstine,2025-2-17,Documentation,CLANDENSTINE
CALCULATORALT,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Calculator Alt 2 2024-10-19 Upload/Documentation/SG ASL Calculator Alt 2 2024-10-19 CC.mp4,calculatoralt,2024-10-19,Documentation,CALCULATORALT
CLAMPALT2025216,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Clamp Alt 2025-2-16 Upload/Documentation/SG ASL Clamp Alt 2025-2-16 CC.mp4,clampalt,2025-2-16,Documentation,CLAMPALT
CLASSROOM2025222,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Classroom 2025-2-22 Upload/Documentation/SG ASL Classroom 2025-2-22 CC.mp4,classroom,2025-2-22,Documentation,CLASSROOM
CHRISTENALT2025118,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Christen Alt 2025-1-18 Upload/Documentation/SG ASL Christen Alt 2025-1-18 CC.mp4,christenalt,2025-1-18,Documentation,CHRISTENALT
CLOSEDOOR202524,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Close Door 2025-2-4 Upload/Documentation/SG ASL Close Door 2025-2-4 CC.mp4,closedoor,2025-2-4,Documentation,CLOSEDOOR
CANCONTAINERBIG2024918,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Can Container Big 2024-9-18 Upload/Documentation/SG ASL Can Container Big 2024-9-18 CC.mp4,cancontainerbig,2024-9-18,Documentation,CANCONTAINERBIG
CLEANEXT2025224,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Clean Ext 2025-2-24 Upload/Documentation/SG ASL Clean Ext 2025-2-24 CC.mp4,cleanext,2025-2-24,Documentation,CLEANEXT
COLLAR202539,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Collar 2025-3-9 Upload/Documentation/SG ASL Collar 2025-3-9 CC.mp4,collar,2025-3-9,Documentation,COLLAR
CHANTALT20241216,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Chant Alt 2024-12-16 Upload/Documentation/SG ASL Chant Alt 2024-12-16 CC.mp4,chantalt,2024-12-16,Documentation,CHANTALT
CHINA2025111,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL China 2025-1-11 Upload/Documentation/SG ASL China 2025-1-11 CC.mp4,china,2025-1-11,Documentation,CHINA
CONDUCTCARRYOUT2025514,"/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Conduct, Carry Out 2025-5-14 Upload/Documentation/SG ASL Conduct, Carry Out 2025-5-14 CC.mp4",conductcarryout,2025-5-14,Documentation,CONDUCTCARRYOUT
CONSORT202563,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Consort 2025-6-3 Upload/Documentation/SG ASL Consort 2025-6-3 CC.mp4,consort,2025-6-3,Documentation,CONSORT
CHEMIST202513,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Chemist 2025-1-3 Upload/Documentation/SG ASL Chemist 2025-1-3 CC.mp4,chemist,2025-1-3,Documentation,CHEMIST
CHEMICAL202513,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Chemical 2025-1-3 Upload/Documentation/SG ASL Chemical 2025-1-3 CC.mp4,chemical,2025-1-3,Documentation,CHEMICAL
CONCERNED2025427,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Concerned 2025-4-27 Upload/Documentation/SG ASL Concerned 2025-4-27 CC.mp4,concerned,2025-4-27,Documentation,CONCERNED
CAUTIOUS20241120,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Cautious 2024-11-20 Upload/Documentation/SG ASL Cautious 2024-11-20 CC.mp4,cautious,2024-11-20,Documentation,CAUTIOUS
COMMENCE2025329,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Commence 2025-3-29 Upload/Documentation/SG ASL Commence 2025-3-29 CC.mp4,commence,2025-3-29,Documentation,COMMENCE
CHATTER20241224,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Chatter 2024-12-24 Upload/Documentation/SG ASL Chatter 2024-12-24 CC.mp4,chatter,2024-12-24,Documentation,CHATTER
COMPLACENT2025413,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Complacent 2025-4-13 Upload/Documentation/SG ASL Complacent 2025-4-13 CC.mp4,complacent,2025-4-13,Documentation,COMPLACENT
CONFIDENCE2025516,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Confidence 2025-5-16 Upload/Documentation/SG ASL Confidence 2025-5-16 CC.mp4,confidence,2025-5-16,Documentation,CONFIDENCE
COLLAPSEALT202539,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Collapse Alt 2025-3-9 Upload/Documentation/SG ASL Collapse Alt 2025-3-9 CC.mp4,collapsealt,2025-3-9,Documentation,COLLAPSEALT
CHURCHALT2025122,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Church Alt 2025-1-22 Upload/Documentation/SG ASL Church Alt 2025-1-22 CC.mp4,churchalt,2025-1-22,Documentation,CHURCHALT
CHIEF202517,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Chief 2025-1-7 Upload/Documentation/SG ASL Chief 2025-1-7 CC.mp4,chief,2025-1-7,Documentation,CHIEF
CAMCORDER2024117,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Camcorder 2024-11-7 Upload/Documentation/SG ASL Camcorder 2024-11-7 CC.mp4,camcorder,2024-11-7,Documentation,CAMCORDER
CAMELALT2024117,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Camcorder 2024-11-7 Upload/SG ASL Camel Alt 2024-11-7 Upload/Documentation/SG ASL Camel Alt 2024-11-7 CC.mp4,camelalt,2024-11-7,Documentation,CAMELALT
CAMEL2024117,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Camcorder 2024-11-7 Upload/SG ASL Camel 2024-11-7 Upload/Documentation/SG ASL Camel 2024-11-7 CC.mp4,camel,2024-11-7,Documentation,CAMEL
COAX202531,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Coax 2025-3-1 Upload/Documentation/SG ASL Coax 2025-3-1 CC.mp4,coax,2025-3-1,Documentation,COAX
CHANGENOCHANGE20241215,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Change No Change 2024-12-15 Upload/Documentation/SG ASL Change No Change 2024-12-15 CC.mp4,changenochange,2024-12-15,Documentation,CHANGENOCHANGE
CAMPGROUND2024912,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Campground 2024-9-12 Upload/Documentation/SG ASL Campground 2024-9-12 CC.mp4,campground,2024-9-12,Documentation,CAMPGROUND
CIRCUS2025126,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Circus 2025-1-26 Upload/Documentation/SG ASL Circus 2025-1-26 CC.mp4,circus,2025-1-26,Documentation,CIRCUS
CHARACTERASIANLETTERS20241220,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Character Asian Letters 2024-12-20 Upload/Documentation/SG ASL Character Asian Letters 2024-12-20 CC.mp4,characterasianletters,2024-12-20,Documentation,CHARACTERASIANLETTERS
CHEMO202513,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Chemo 2025-1-3 Upload/Documentation/SG ASL Chemo 2025-1-3 CC.mp4,chemo,2025-1-3,Documentation,CHEMO
CLOSEZIPPER202527,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Close Zipper 2025-2-7 Upload/Documentation/SG ASL Close Zipper 2025-2-7 CC.mp4,closezipper,2025-2-7,Documentation,CLOSEZIPPER
COCONUT202533,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Coconut 2025-3-3 Upload/Documentation/SG ASL Coconut 2025-3-3 CC.mp4,coconut,2025-3-3,Documentation,COCONUT
CLEANDISHES2025223,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Clean Dishes 2025-2-23 Upload/Documentation/SG ASL Clean Dishes 2025-2-23 CC.mp4,cleandishes,2025-2-23,Documentation,CLEANDISHES
COLD202538,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Cold 2025-3-8 Upload/Documentation/SG ASL Cold 2025-3-8 CC.mp4,cold,2025-3-8,Documentation,COLD
CARBONDIOXIDE20241016,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Carbon Dioxide 2024-10-16 Upload/Documentation/SG ASL Carbon Dioxide 2024-10-16 CC.mp4,carbondioxide,2024-10-16,Documentation,CARBONDIOXIDE
CHEQUE202514,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Cheque 2025-1-4 Upload/Documentation/SG ASL Cheque 2025-1-4 CC.mp4,cheque,2025-1-4,Documentation,CHEQUE
CHRISTIANALT2025118,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Christian Alt 2025-1-18 Upload/Documentation/SG ASL Christian Alt 2025-1-18 CC.mp4,christianalt,2025-1-18,Documentation,CHRISTIANALT
CLASSY2025222,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Classy 2025-2-22 Upload/Documentation/SG ASL Classy 2025-2-22 CC.mp4,classy,2025-2-22,Documentation,CLASSY
CHANGEMONEY20241215,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Change Money 2024-12-15 Upload/Documentation/SG ASL Change Money 2024-12-15 CC.mp4,changemoney,2024-12-15,Documentation,CHANGEMONEY
CHRISTMASTREE20231227,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Christmas Tree 2023-12-27 Upload/Documentation/SG ASL Christmas Tree 2023-12-27 CC.mp4,christmastree,2023-12-27,Documentation,CHRISTMASTREE
CHUBBYFACE2025120,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Chubby Face 2025-1-20 Upload/Documentation/SG ASL Chubby Face 2025-1-20 CC.mp4,chubbyface,2025-1-20,Documentation,CHUBBYFACE
COMPLAINT2025414,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Complaint 2025-4-14 Upload/Documentation/SG ASL Complaint 2025-4-14 CC.mp4,complaint,2025-4-14,Documentation,COMPLAINT
CIRCUMSTANCENOCONTROL2025125,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Circumstance No Control 2025-1-25 Upload/Documentation/SG ASL Circumstance No Control 2025-1-25 CC.mp4,circumstancenocontrol,2025-1-25,Documentation,CIRCUMSTANCENOCONTROL
COMPATIBLE202545,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Compatible 2025-4-5 Upload/Documentation/SG ASL Compatible 2025-4-5 CC.mp4,compatible,2025-4-5,Documentation,COMPATIBLE
CLOTHFACE202528,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Cloth Face 2025-2-8 Upload/Documentation/SG ASL Cloth Face 2025-2-8 CC.mp4,clothface,2025-2-8,Documentation,CLOTHFACE
CAMBODIA2025213,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Cambodia 2025-2-13 Upload/Documentation/SG ASL Cambodia 2025-2-13 CC.mp4,cambodia,2025-2-13,Documentation,CAMBODIA
CHUM2025121,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Chum 2025-1-21 Upload/Documentation/SG ASL Chum 2025-1-21 CC.mp4,chum,2025-1-21,Documentation,CHUM
CONFRONTALT2025519,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Confront Alt 2025-5-19 Upload/Documentation/SG ASL Confront Alt 2025-5-19 CC.mp4,confrontalt,2025-5-19,Documentation,CONFRONTALT
COBBLESTONE202531,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL C/SG ASL Cobble Stone 2025-3-1 Upload/Documentation/SG ASL Cobble Stone 2025-3-1 CC.mp4,cobblestone,2025-3-1,Documentation,COBBLESTONE
